Antiguedad,Kilometraje,Marca.1.Índice,Modelo.1.Índice,Version.1.Índice,Precios Lista.Precio de Lista,Precio
5,64011,5,33,183,795000,535999
7,71500,5,34,135,795000,320999
9,130000,5,36,157,695000,197999
3,12416,5,31,158,885000,703999
5,51805,5,34,127,795000,480999
7,72375,5,32,159,985000,430999
6,50000,5,34,127,795000,388999
4,42050,5,31,158,885000,545999
6,63660,5,34,127,795000,355999
5,56276,5,34,127,795000,421999
10,52582,5,34,151,795000,270999
10,86762,5,34,151,795000,253999
7,29458,5,34,151,795000,372999
7,117000,5,34,151,795000,278999
2,5836,5,37,182,795000,633999
9,103572,5,34,131,795000,297999
8,78222,5,34,131,795000,308999
4,30000,5,34,165,795000,498999
3,30193,5,34,165,795000,516999
5,41253,5,35,129,985000,620999
8,50488,5,31,123,885000,365999
6,54000,5,34,127,795000,387999
6,44396,5,32,159,985000,478999
7,31829,5,32,159,985000,444999
6,53085,5,32,159,985000,433999
7,50761,5,35,213,985000,343999
11,89000,5,31,212,885000,219999
15,96000,5,40,210,1795000,226999
4,73000,5,36,209,695000,351000
5,47061,5,35,208,985000,402999
10,58673,5,41,207,1315000,454999
5,63634,5,31,202,885000,648999
7,100005,5,38,186,1215000,510999
10,103999,5,38,136,1215000,389999
8,68414,5,37,200,795000,271999
3,35784,5,39,194,1595000,965999
11,130268,5,31,139,885000,238999
6,68786,5,39,193,1595000,703999
6,51728,5,33,142,795000,431999
5,46396,5,33,142,795000,460999
6,55293,5,37,191,795000,447999
8,96240,5,39,148,1595000,477999
3,21510,5,34,156,795000,618999
